task id,run #,individual,ensemble_70
359955,15,0.7373294346978557,0.7373294346978557
359968,12,0.9083958751310692,0.9193602985493604
359974,0,0.7914592531139377,0.7850704545215904
359975,5,0.9933665008291874,0.9911774461028192
359955,12,0.7412280701754386,0.7468323586744638
2073,0,0.9025861536035724,0.9115192194075012
190137,12,0.934078947368421,0.9388157894736842
359960,0,0.9999779970367584,1.0
168784,1,0.9609261122883026,0.9605256956768808
359975,6,0.9987396351575456,0.9992703150912108
359968,13,0.9340648453174152,0.930134826080136
359958,12,0.9637586805555556,0.9636501736111112
359962,11,0.868476621417798,0.8744236156000862
359968,15,0.9323970640444522,0.934097870689157
359960,9,0.9999559940735168,0.9999779970367584
359975,7,0.99575456053068,0.9956218905472638
190411,8,0.9292421272093604,0.932622292755788
190411,3,0.9306813231267116,0.9311247510580036
168784,8,0.9675959025767707,0.9675748465965316
359974,5,0.7591123240870568,0.759117043896632
359974,9,0.8554991702364566,0.873214684544747
359968,3,0.9329089573064508,0.9273854638826278
359958,0,0.9293619791666669,0.9295789930555556
2073,17,0.8542322242268365,0.8653411092754719
190137,0,0.9267105263157897,0.930657894736842
