task_id,seed,unweighted_ensemble,weighted_ensemble,individual
146818,10,0.8333333333333334,0.8405797101449275,0.8260869565217391
359965,7,0.978125,0.99375,0.9921875
359957,9,0.949074074074074,0.9398148148148148,0.9074074074074074
168784,11,0.7763496143958869,0.8251928020565553,0.8097686375321337
359962,3,0.8672985781990521,0.8767772511848341,0.8696682464454977
359962,17,0.8554502369668247,0.8649289099526066,0.8720379146919431
190137,15,0.9447731755424064,0.9487179487179488,0.9368836291913216
190411,14,0.8626506024096385,0.8698795180722891,0.8650602409638555
190137,18,0.9388560157790928,0.9388560157790928,0.9349112426035504
359963,8,0.9242424242424242,0.9372294372294372,0.935064935064935
359974,7,0.6448979591836734,0.7061224489795919,0.6877551020408164
359965,5,0.98125,0.99375,0.99375
359968,12,0.908,0.958,0.943
359958,11,0.9041095890410958,0.9212328767123288,0.910958904109589
359958,20,0.9006849315068494,0.8972602739726028,0.9006849315068494
146818,5,0.8623188405797102,0.8985507246376812,0.8768115942028986
359956,18,0.8957345971563981,0.8862559241706162,0.8909952606635071
359963,10,0.9090909090909092,0.922077922077922,0.9177489177489178
190146,10,0.7823529411764706,0.8411764705882353,0.8529411764705882
359972,11,0.9453658536585364,0.9590243902439024,0.953170731707317
359965,6,0.9765625,1.0,1.0
359962,11,0.8601895734597157,0.8672985781990521,0.8696682464454977
359975,1,0.9941176470588236,0.9941176470588236,0.9941176470588236
359965,17,0.984375,0.9953125,0.9953125
168350,13,0.8075855689176689,0.8889916743755781,0.8917668825161887
359959,3,0.5932203389830508,0.5830508474576271,0.5728813559322034
359964,16,0.9670846394984326,0.9764890282131662,0.9702194357366772
146820,1,0.9462809917355371,0.9886363636363636,0.9917355371900828
359958,4,0.928082191780822,0.928082191780822,0.910958904109589
359968,18,0.913,0.956,0.953
190137,10,0.9388560157790928,0.940828402366864,0.9368836291913216
146818,0,0.8478260869565217,0.8695652173913043,0.855072463768116
359971,5,0.9611035730438716,0.9764812302125736,0.9751243781094528
359971,0,0.9629127091813658,0.9706015377657168,0.969244685662596
190411,13,0.8698795180722891,0.8710843373493976,0.8722891566265061
168757,17,0.73,0.755,0.74
359956,7,0.8909952606635071,0.8815165876777251,0.8767772511848341
359956,17,0.8720379146919431,0.8909952606635071,0.9004739336492891
168784,5,0.7455012853470437,0.7866323907455013,0.794344473007712
359965,12,0.9796875,0.9953125,0.99375
168350,20,0.8297872340425532,0.9167437557816835,0.91581868640148
190146,5,0.7411764705882353,0.7823529411764706,0.788235294117647
359968,1,0.928,0.953,0.953
359964,1,0.9561128526645768,0.9561128526645768,0.95141065830721
2073,3,0.5959595959595959,0.6195286195286195,0.6296296296296297
359959,17,0.5661016949152542,0.5559322033898305,0.5627118644067797
190137,13,0.9368836291913216,0.9388560157790928,0.9329388560157792
359975,10,0.9950980392156864,0.9950980392156864,0.9950980392156864
359955,16,0.7666666666666667,0.7933333333333333,0.7866666666666666
359959,0,0.5796610169491525,0.5661016949152542,0.5728813559322034
359963,9,0.9415584415584416,0.945887445887446,0.9415584415584416
146818,1,0.8768115942028986,0.8115942028985508,0.8115942028985508
359958,16,0.8972602739726028,0.8972602739726028,0.9006849315068494
359974,1,0.6581632653061225,0.7112244897959183,0.7061224489795919
359964,13,0.9608150470219436,0.9608150470219436,0.9592476489028212
359959,8,0.5491525423728814,0.5389830508474577,0.5457627118644067
359957,15,0.9722222222222222,0.9675925925925926,0.9722222222222222
359956,14,0.8672985781990521,0.8957345971563981,0.8436018957345972
359955,5,0.78,0.76,0.7333333333333333
359958,19,0.9075342465753424,0.9041095890410958,0.9143835616438356
359963,12,0.91991341991342,0.9307359307359307,0.9285714285714286
359957,18,0.9722222222222222,0.9629629629629628,0.9629629629629628
190146,16,0.7764705882352941,0.8647058823529412,0.8529411764705882
190411,7,0.8590361445783132,0.863855421686747,0.8554216867469879
168784,7,0.8123393316195373,0.8611825192802056,0.8431876606683805
168757,13,0.785,0.785,0.805
146820,2,0.9462809917355371,0.987603305785124,0.987603305785124
2073,0,0.6161616161616161,0.6262626262626263,0.6464646464646465
359972,16,0.9453658536585364,0.9560975609756096,0.9570731707317072
359971,19,0.9488919041157848,0.9642695612844868,0.9665309814563546
359962,8,0.8696682464454977,0.8815165876777251,0.8862559241706162
359955,1,0.7733333333333333,0.7866666666666666,0.7666666666666667
